Group,Cohort,MouseID,Virus,Trial,Laser,Start,Time_Latency_Contact_s,Latency_Contact_s,Time_Latency_Retrieve_s,Latency_Retrieve_s,Retrieved
Control,1,PrL-10,mCherry,1,OFF,0:13,0:27,14,NO,120,0
Control,1,PrL-10,mCherry,2,ON,2:38,2:57,19,NO,120,0
Control,1,PrL-10,mCherry,3,OFF,5:00,6:11,71,NO,120,0
Control,1,PrL-10,mCherry,4,ON,7:19,8:27,68,NO,120,0
Control,1,PrL-10,mCherry,5,OFF,9:37,NO,120,NO,120,0
Control,1,PrL-10,mCherry,6,ON,11:55,12:06,11,NO,120,0
Control,1,PrL-10,mCherry,7,OFF,14:11,15:49,98,NO,120,0
Control,1,PrL-10,mCherry,8,ON,16:37,17:18,41,NO,120,0
PrL-1,1,PrL-2,ChR2,1,OFF,0:08,0:17,120,NO,120,0
PrL-1,1,PrL-2,ChR2,2,ON,2:31,2:52,21,5:07,120,0
PrL-1,1,PrL-2,ChR2,3,OFF,5:25,5:30,5,7:24,119,1
PrL-1,1,PrL-2,ChR2,4,ON,7:34,9:06,92,9:10,96,1
PrL-1,1,PrL-2,ChR2,5,OFF,9:48,NO,120.00,NO,120,0
PrL-1,1,PrL-2,ChR2,6,ON,12:00,12:06,6,12:10,10,1
PrL-1,1,PrL-2,ChR2,7,OFF,14:11,14:14,3,14:25,14,1
PrL-1,1,PrL-2,ChR2,8,ON,16:22,16:25,3,16:30,8,1
PrL-1,1,PrL-2,ChR2,9,OFF,18:33,18:38,5,18:42,9,1
PrL-1,1,PrL-2,ChR2,10,ON,20:45,21:55,70,21:58,73,1
PrL-1,1,PrL-3,ChR2,1,OFF,0:06,1:23,77,2:13,120,0
PrL-1,1,PrL-3,ChR2,2,ON,2:21,2:40,19,2:53,32,1
PrL-1,1,PrL-3,ChR2,3,OFF,4:33,NO,120,NO,120,0
PrL-1,1,PrL-3,ChR2,4,ON,6:44,6:51,7,6:58,14,1
PrL-1,1,PrL-3,ChR2,5,OFF,8:57,9:05,8,9:11,14,1
PrL-1,1,PrL-3,ChR2,6,ON,11:04,11:11,7,11:14,10,1
PrL-1,1,PrL-3,ChR2,7,OFF,13:13,13:24,11,13:27,14,1
PrL-1,1,PrL-3,ChR2,8,ON,15:24,15:27,3,15:34,10,1
PrL-1,1,PrL-4,ChR2,1,OFF,0:06,0:18,12,0:43,37,1
PrL-1,1,PrL-4,ChR2,2,ON,2:15,2:19,4,2:24,9,1
PrL-1,1,PrL-4,ChR2,3,OFF,4:25,4:35,10,4:41,16,1
PrL-1,1,PrL-4,ChR2,4,ON,6:33,6:41,8,6:46,13,1
PrL-1,1,PrL-4,ChR2,5,OFF,9:06,9:36,30,9:42,36,1
PrL-1,1,PrL-4,ChR2,6,ON,11:15,12:01,46,12:05,50,1
PrL-1,1,PrL-4,ChR2,7,OFF,13:23,NO,120,NO,120,0
PrL-1,1,PrL-4,ChR2,8,ON,16:07,16:13,5,16:17,10,1
PrL-1,1,PrL-4,ChR2,9,OFF,18:17,NO,120,NO,120,0
PrL-1,1,PrL-4,ChR2,10,ON,20:32,20:37,5,20:40,8,1
Control,1,PrL-5,mCherry,1,OFF,0:00,0:08,8,1:17,77,1
Control,1,PrL-5,mCherry,2,ON,2:03,2:35,32,2:42,39,1
Control,1,PrL-5,mCherry,3,OFF,4:13,5:57,104,6:02,109,1
Control,1,PrL-5,mCherry,4,ON,6:25,8:09,104,8:15,110,1
Control,1,PrL-5,mCherry,5,OFF,8:36,8:51,15,8:57,21,1
Control,1,PrL-5,mCherry,6,ON,10:44,12:10,86,12:15,91,1
Control,1,PrL-5,mCherry,7,OFF,12:56,NO,120,NO,120,0
Control,1,PrL-5,mCherry,8,ON,15:07,15:31,24,15:37,30,1
Control,1,PrL-5,mCherry,9,OFF,17:29,17:37,8,17:41,12,1
Control,1,PrL-5,mCherry,10,ON,19:37,19:47,10,19:52,15,1
PrL-1,1,PrL-8,ChR2,1,OFF,0:26,0:58,32,2:19,113,1
PrL-1,1,PrL-8,ChR2,2,ON,2:38,2:50,12,4:13,95,1
PrL-1,1,PrL-8,ChR2,3,OFF,4:54,5:06,12,5:11,17,1
PrL-1,1,PrL-8,ChR2,4,ON,7:02,7:28,26,7:33,31,1
PrL-1,1,PrL-8,ChR2,5,OFF,9:18,10:26,68,10:43,85,1
PrL-1,1,PrL-8,ChR2,6,ON,11:26,11:36,10,11:44,18,1
PrL-1,1,PrL-8,ChR2,7,OFF,13:36,NO,120,NO,120,0
PrL-1,1,PrL-8,ChR2,8,ON,15:48,16:31,43,16:47,59,1
PrL-1,1,PrL-8,ChR2,9,OFF,18:12,18:54,42,18:58,46,1
PrL-1,1,PrL-8,ChR2,10,ON,20:27,20:32,5,20:38,11,1
Control,1,PrL-9,mCherry,1,OFF,0:29,0:33,4,NO,120,0
Control,1,PrL-9,mCherry,2,ON,3:11,3:28,17,NO,120,0
Control,1,PrL-9,mCherry,3,OFF,5:56,5:57,1,NO,120,0
Control,1,PrL-9,mCherry,4,ON,8:32,8:43,11,NO,120,0
Control,1,PrL-9,mCherry,5,OFF,10:53,10:56,3,NO,120,0
Control,1,PrL-9,mCherry,6,ON,13:18,13:20,2,NO,120,0
Control,1,PrL-9,mCherry,7,OFF,15:33,15:44,11,16:07,34,1
Control,1,PrL-9,mCherry,8,ON,17:41,18:01,20,NO,120,0
Control,1,PrL-9,mCherry,9,OFF,19:54,20:03,9,NO,120,0
Control,1,PrL-9,mCherry,10,ON,22:21,23:37,76,NO,120,0
Control,2,PrL-16,mCherry,1,OFF,0:05,0:13,8,NO,120,0
Control,2,PrL-16,mCherry,2,ON,2:18,2:40,22,2:48,30,1
Control,2,PrL-16,mCherry,3,OFF,4:33,4:40,7,4:45,12,1
Control,2,PrL-16,mCherry,4,ON,6:41,6:54,13,6:59,18,1
Control,2,PrL-16,mCherry,5,OFF,9:06,9:24,18,9:29,13,1
Control,2,PrL-16,mCherry,6,ON,11:15,12:00,45,12:08,53,1
Control,2,PrL-16,mCherry,7,OFF,13:25,NO,120,NO,120,0
Control,2,PrL-16,mCherry,8,ON,15:38,15:45,7,15:48,10,1
Control,2,PrL-16,mCherry,9,OFF,17:53,18:08,15,18:17,24,1
Control,2,PrL-16,mCherry,10,ON,20:03,20:20,17,20:27,24,1
Control,2,PrL-19,mCherry,1,OFF,0:06,0:35,29,NO,120,0
Control,2,PrL-19,mCherry,2,ON,2:28,3:47,79,NO,120,0
Control,2,PrL-19,mCherry,3,OFF,4:53,5:21,28,NO,120,0
Control,2,PrL-19,mCherry,4,ON,7:10,8:06,56,NO,120,0
Control,2,PrL-19,mCherry,5,OFF,9:30,9:50,20,NO,120,0
Control,2,PrL-19,mCherry,6,ON,12:32,13:36,64,NO,120,0
Control,2,PrL-19,mCherry,7,OFF,14:51,16:15,84,NO,120,0
Control,2,PrL-19,mCherry,8,ON,17:09,18:08,59,NO,120,0
Control,2,PrL-19,mCherry,9,OFF,19:26,20:09,43,NO,120,0
Control,2,PrL-19,mCherry,10,ON,21:42,23:18,96,NO,120,0
